"point","Nombre Peaje","Ubicación","Sector","Sentido","Poste de Referencia PR","Distancia PR","Telefono Grúa","Telefono Peaje","URL Foto","Categoria I","Categoria II","Categoria III","Categoria IV","Categoria V","Categoria VI","Categoria VII","Categoria VIII","Categoria IX","Categoria E","Categoria EAE","Categoria EC","Categoria EIE","Categoria IE","Categoria IEE","Categoria IEEE","Categoria IEX","Categoria IIA","Categoria IIE","Categoria IIIE","Categoria IVE","Categoria VE","Categoria VIE","Categoria VIIE","Administrador","Código Peaje","Código Tramo","Eje Adicional","Eje Adicional R","Eje Grua","Latitud","Longitud","Responsable","Territorial"
"POINT (-75.30280999999997 8.03150800000003)","LA APARTADA","Vía Caucasia – Planeta Rica  Km 12","Caucasia - Planeta Rica","Sur – Norte","11","831","3216177100","3102467118","http://hermes.invias.gov.co/carreteras/images/peajes/la_apartada.jpg","14,000","20,700","20,700","20,700","37,500","59,700","68,700","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","28","2513","0","0","0","8.03128061","8.03128061","Concesión Ruta al Mar","11"
"POINT (-74.18502799999999 4.780402000000038)","SIBERIA","Bogotá (El Cortijo) – Siberia – La Punta – El Vino – Villeta","Villeta - Bogotá","Ambos sentidos de circulación","135","913","5939260","5939260 – 3185577768 – 3102613190 - 3002149460","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","13,800","19,600","16,500","21,900","38,300","51,200","56,300","5,800","8,000","0","0","0","5,600","6,400","0","0","0","0","9,200","7,500","10,300","0","0","0","2","92","5008","0","0","0","4.78035984","4.78035984","CONCESIÓN SABANA DE OCCIDENTE","12"
"POINT (-74.80898299999996 9.79138800000004)","PUENTE PLATO","KM 0+150  Vía Plata – Pueblo Nuevo","Plato – Pueblo Nuevo","Sur – Norte","0","323","018000945566 Opción 1","3165280403","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","11,700","14,600","30,500","43,200","46,200","0","0","0","0","2,600","0","0","0","2,900","0","0","0","0","0","0","0","0","0","0","2","131","8002","9,000","8,700","6,500","9.79136573","9.79136573","Concesión (Yuma)","15"
"POINT (-74.82028199999996 5.201584000000025)","HONDA","Km 35 + 100 Vía Mariquita – Honda","Fresno - Honda","Norte – Sur  / Sur - Norte","35","75","350 666-6375 - 350666-6386","3506666383 - 3506666384 - 3506666385","http://hermes.invias.gov.co/carreteras/images/peajes/honda.jpg","13,700","14,600","15,200","15,900","33,500","45,900","49,700","0","0","0","0","0","5,200","6,000","0","0","0","0","0","0","0","0","0","0","2","91","5007","0","0","0","5.20150747","5.20150747","Concesionaria Alternativas Viales SAS.","24"
"POINT (-74.95610499999998 10.967563000000041)","PUERTO COLOMBIA","Vía al Mar Km 93","Cartagena - Lomita Arena","Ambos sentidos de circulación","93","572","018000977330 - 3114803629","3124572706 - 3157210245 o #212 Movistar / 3106303666 o #211 Claro / 3004510014 o #211 Tigo","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","17,200","25,800","18,900","32,800","102,000","135,800","150,700","0","0","0","0","0","0","12,600","0","0","0","0","19,100","0","0","0","0","0","2","147","90A01","0","0","0","10.96756325","10.96756325","Concesión Costera - Barranquilla - Cartagena","2"
"POINT (-75.81986199999994 9.091459000000043)","MATA DE CAÑA","Vía Monteria - Lorica Km 32+700 Metros","Cereté - Lorica","Sur – Norte","32","632","3216177100","3102468199 - 3145007265","http://hermes.invias.gov.co/carreteras/images/peajes/mata_de_cana.jpg","15,800","23,200","23,200","23,200","24,700","36,000","36,100","0","0","0","0","0","0","8,400","0","0","0","0","12,500","0","0","0","0","0","2","2","2103","0","0","0","9.09142567","9.09142567","Concesión Ruta al Mar","11"
"POINT (-73.95246199999997 6.645326000000068)","AGUAS NEGRAS","Vía Rio Ermitaño La Lizama Km 84","Río Ermitaño - La Lizama","Aplica en ambos sentido de circulación","83","900","Por Definir","3165298177","https://hermes.invias.gov.co/recursos/Fichas%20Peajes/3937.pdf","13,500","17,000","39,500","47,300","55,600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","72","4511","11,000","10,800","8,100","6.64532648","6.64532648","Concesionaria Ruta Del Sol","22"
"POINT (-73.58350399999995 5.290677000000073)","ALBARRACÍN","Vía Bogotá Tunja KM 82+200 -  Jurisdicción Villa Pinzón (Cundinamarca)","Chocontá - Tunja","Ambos sentidos de circulación","80","2,261","3174422284 // 3174341120 // 3174341030 // 3164086968","3203409278","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","10,300","11,400","29,300","36,200","42,600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","103","5501","8,200","6,800","0","5.29046083","5.29046083","Concesión Briceño - Tunja - Sogamoso","4"
"POINT (-75.60650599999997 9.465677000000028)","CAIMANERA",,"Coveñas - San Onofre","Sur – Norte","41","129","3216177100","3153483271","http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","15,300","22,100","22,100","22,100","40,000","63,400","73,100","0","0","700","0","0","0","800","0","0","1,000","0","800","800","800","0","700","0","2","136","9004","0","0","8,000","9.46562409","9.46562409","Por Definir","11"
"POINT (-75.55537446799997 5.094251146000033)","QUIEBRA DE VELEZ",,"Tres Puertas - Quiebra de Vélez - Manizales",,"0","0",,,"http://hermes.invias.gov.co/carreteras/images/peajes/peaje.jpg","3,100","9,600","0","33,000","37,600","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","171",,"0","0","0","5.09425115","5.09425115",,"5"
